Tweet id,Texto,Fecha de Creación,Id del autor,Locación de la cuenta,Locacion del tweet,Coordenadas,Tipo de Lugar,id de locación
1644203128877621249,Like y vamos por un esquite 👍🏻,2023-04-07T04:59:08.000Z,1579860065179213824,"Xalapa, Veracruz de Ignacio de",NA,"(0.0, 0.0)",NA,NA
1644201982863745025,RT @CeHache91: Champurrado de esquite https://t.co/9ROhdXQmvI,2023-04-07T04:54:35.000Z,59310055,the 6ix  &  Yeet town,NA,"(0.0, 0.0)",NA,NA
1644201795059855362,Champurrado de esquite https://t.co/9ROhdXQmvI,2023-04-07T04:53:50.000Z,50796676,"San Andrés Cholula,Pue,México",NA,"(0.0, 0.0)",NA,NA
1644198173680844801,"@medidorderuidos Sip, supongo que le hubiera terminado por decir así... pero ahora ya está demasiado extendida la palabra esquite 🤷‍♂️",2023-04-07T04:39:26.000Z,223562476,"Guanajuato, México",NA,"(0.0, 0.0)",NA,NA
1644196435574030337,Se me antoja un esquite 🫠,2023-04-07T04:32:32.000Z,1404304840424034305,"Pachuca de Soto, Hidalgo",NA,"(0.0, 0.0)",NA,NA
1644195050623053825,"@medidorderuidos mmm bueno, supongo que antes de conocer la palabra esquite no habría sabido cómo llamar esa cosa. Eso no es un elote en vaso 🤔🤔🤔",2023-04-07T04:27:02.000Z,223562476,"Guanajuato, México",NA,"(0.0, 0.0)",NA,NA
1644189712410714112,"@Sa83332583Oscar @JackyZamora20 Esquite 👀
#JesusEnUNIFE49",2023-04-07T04:05:49.000Z,1622387051483086848,"Guadalajara, Jalisco",NA,"(0.0, 0.0)",NA,NA
1644187911678558208,Gracias a un esquite casi me caigo de las escaleras,2023-04-07T03:58:40.000Z,1513641521400135684,BTS - BIBI - ABBA ,NA,"(0.0, 0.0)",NA,NA
1644187324996292608,"Mira, @ajimenez0893, tú que dijiste que la primera vez que oíste ""esquite"" fue en Guanajuato capital. Aquí la página oficial de Dolores Hidalgo está usando esa palabra. https://t.co/yF235jIAJW",2023-04-07T03:56:20.000Z,762495178334625792,"Estado de Guanajuato, México",NA,"(0.0, 0.0)",NA,NA
1644184172724994048,Jajajaja un esquite https://t.co/s4naFdsyD5,2023-04-07T03:43:48.000Z,772828526,Guatemala. City,NA,"(0.0, 0.0)",NA,NA
1644183824262393859,@coitequito Yooo y esquite también!!,2023-04-07T03:42:25.000Z,6390472,"Culiacan, Sinaloa, Mexico",NA,"(0.0, 0.0)",NA,NA
1644181243247091712,esquite o marquesita,2023-04-07T03:32:10.000Z,1595218674310385664,she  ( 15 ) ,NA,"(0.0, 0.0)",NA,NA
1644179769431404546,@iChaeJoo necesito una foto/video de junseo comiendo esquite 😂,2023-04-07T03:26:19.000Z,736000361924853760,pool ☹︎☻︎,NA,"(0.0, 0.0)",NA,NA
1644158701862023168,"si alguien les ofrece un esquite a 15 pesos no lo acepten, trae gusano",2023-04-07T02:02:36.000Z,1533963639736045568, ,NA,"(0.0, 0.0)",NA,NA
