Tweet,Fecha,Locacion,Tipo,Longitud,Latitud,Poblacion,,
"En los que el diagnóstico de COVID, no es correcto. La situación es que debido a las medidas sanitarios la mujer en… https://t.co/hPrZQwFTMM",Tue Apr 21 20:45:26 +0000 2020,"Veracruz de Ignacio de la Llave, Veracruz, El Zapote",R,-96.2293965,19.183953,10,,
El Lic. @PozoRiestra titular de @juzgados_dgo habla al respecto del cerco sanitario que se realizó esta tarde a un… https://t.co/7Nxvvyl7RQ,Tue Apr 21 23:56:46 +0000 2020,"Durango, Durango, Metates (Tenchontle)",R,-104.837578,23.9541625,194,,
"#voyconfase3 dra @leos nosotros llevamos haciendo este cerco sanitario, al principio nos resultó complicado.. pero… https://t.co/ObFQsrmV1j",Wed Apr 22 00:31:48 +0000 2020,"Jalisco, Guadalajara, Guadalajara",U,-103.335882,20.676652,1385621,,
"@NancyPAliciaMn1 @Radio_Formula @lopezobrador_ No hay recesión mundial, el problema es sanitario y saliendo tal ves… https://t.co/ctb7RWwZ2i",Wed Apr 22 02:17:10 +0000 2020,"Ciudad de México, Tláhuac, Las Calabacitas",R,-99.050461,19.3427885,19,,
Y las cosas en los hospitales está muy grave Pascal. Cada vez más los médicos y personal sanitario se han contagiad… https://t.co/2gtu9SIoTk,Wed Apr 22 03:09:23 +0000 2020,"Guanajuato, Guanajuato, Mineral de Garrapata",R,-101.250134,21.0254965,0,,
"Hoy en #LobosCadena7:
📍#Durango llega a 30 casos positivos por Covid-19.
📍Montan cerco sanitario en el poblado Igna… https://t.co/cguCu0TskZ",Wed Apr 22 12:27:18 +0000 2020,"Durango, Durango, Metates (Tenchontle)",R,-104.837578,23.9541625,194,,
"@porrasmariana La medida toma en cuenta a los médicos y personal sanitario, por lo que yo leí del comunicado de @Claudiashein",Wed Apr 22 12:29:14 +0000 2020,"Yucatán, Mérida, Palestino Necaxa",R,-89.623611,20.941035,0,,
#NoticiasDMX ● Se implementó un cerco sanitario a 24 pasajeros que venían en un autobús turístico procedente del es… https://t.co/1YOtBjF3k5,Wed Apr 22 13:06:47 +0000 2020,"Durango, Nuevo Ideal, Cartagena",R,-105.0210715,24.832677,121,,
"Vienen semanas y meses que serán de enorme dificultad para el país en lo sanitario, en lo económico, en lo político… https://t.co/QUDbGGnUjp",Wed Apr 22 13:52:44 +0000 2020,"Quintana Roo, Benito Juárez, Los García",R,-87.0316645,21.048719,0,,
"No te pierdas la transmisión de @COFEPRIS: Contra Riesgos Sanitarios ""Radio Nacional de Salud"".

🗓 Lun - Vie, 12 pm… https://t.co/jUCK0ZwnOm",Wed Apr 22 16:15:28 +0000 2020,"Ciudad de México, Coyoacán, Coyoacán",U,-99.15234,19.328383,614447,,
