Tweet,Fecha,Estado,Locacion,Tipo,Longitud,Latitud,Poblacion
@Moyotec @tragonautamx El chicharrón de pescado 😋 y callo de hacha los mejores😅,Fri Apr 29 00:09:01 +0000 2022,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
@Moyotec @TorosCelayaCD #elplacerdesufrir,Sat May 07 01:27:43 +0000 2022,Querétaro,Querétaro,R,-100.4405945,20.7152745,9
@ricky_jc Moyotes en Morelos,Thu May 12 01:03:48 +0000 2022,Morelos,Yecapixtla,R,-98.9534575,18.827419,99
"ODIO, ODIO, odioooooo, los moyotes de verdad. Más que a las moscas, fácil ! https://t.co/7TN7TzEHoK",Fri May 20 17:25:38 +0000 2022,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
"Datos inútiles de un conductor de Uber, parte.1 🚗

Los moyotes (insecto) al succionar demaciado sangre, dañan el si… https://t.co/jyt048a3Un",Wed Jun 01 22:40:56 +0000 2022,Durango,Gómez Palacio,R,-103.50417999999999,25.711095,3
Me picaron horriblemente unos moyotes dinosáuricos que había por la alberca.,Mon Jun 13 01:43:27 +0000 2022,Yucatán,Mérida,R,-89.62361100000001,20.941035,0
Nomas vine por mi exceso de azúcar y a que me picaran los moyotes alv https://t.co/iEwxT0gzXW,Mon Jun 13 02:20:13 +0000 2022,Chihuahua,Hidalgo del Parral,R,-105.6835535,27.1164905,4
Moyotes a los moscos… #VoyConFrioCalor,Wed Jul 06 00:45:13 +0000 2022,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
Entre que me llegue mi base sindical o que desaparezcan los moyotes neta prefiero que se mueran los moyotes.,Tue Jul 19 03:58:26 +0000 2022,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
"Mi sobrino mañana se juega el pase a la final, en la nacional de Moyote! 
Vamos Gallos!!
Vamos Nuevo León!!!
#LLWS… https://t.co/YXIVdgXLPS",Thu Jul 28 03:18:50 +0000 2022,Nuevo León,El Carmen,R,-100.36009800000001,25.915488,0
Ana Victoria le dice “moyotes “ a los zancudos JAJAJAJA cero  Mazatleca de su parte,Wed Aug 10 18:20:40 +0000 2022,Sinaloa,Mazatlán,R,-106.2717475,23.46814,0
these moyotes worse than flies omg,Sun Aug 14 01:14:42 +0000 2022,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
Apenas uno de esos en la oficina pa ahuyentar a los moyotes eda'@WendyAlvarezz 😅😵‍💫😵,Mon Aug 15 05:49:14 +0000 2022,Coahuila de Zaragoza,Viesca,R,-103.23313,25.244222999999998,36
Yo cuidando en cerrar la puerta a madre para que no se metan los moyotes y nada que tenia aquí unas plantitas a las… https://t.co/SsjHbsTq2n,Mon Aug 22 19:47:15 +0000 2022,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
@Moyotec @Ramon00722710 @Antonio_Rosique @SChecoPerez Y altamente exigente en lo físico y mental.,Mon Aug 29 21:41:05 +0000 2022,Ciudad de México,Benito Juárez,U,-99.1614805,19.380613,434153
Qué difícil es vivir entre perros que no dejan de ladrar un segundo y moyotes despiadados. ¿A esto se le llama vida?,Tue Sep 20 01:20:46 +0000 2022,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
@GlodeJo07 Gracias por la foto tengo plaga de moyotes y será un buen repelente natural jejeje,Thu Sep 22 01:33:06 +0000 2022,Durango,Gómez Palacio,R,-103.50417999999999,25.711095,3
"Que a toda madre, unos moyotes coshando en mi cuarto.",Mon Sep 26 23:14:33 +0000 2022,Chihuahua,Chihuahua,R,-106.1628985,28.941865999999997,0
Los moyotes me andan dando una chingaaaaaa🧐,Tue Sep 27 16:00:14 +0000 2022,Chihuahua,Cuauhtémoc,R,-106.90850850000001,28.7677765,5
@Dgalleg69772138 Ay ay. A poco la devoran los moyotes ? Cuanta queja.,Thu Sep 29 02:52:51 +0000 2022,Chihuahua,Juárez,R,-106.568008,31.452274000000003,-
"@Moyotec @FedericoMXSud Santo Cuervo Taquería, en Jardines segunda sección amigo, paseo del bajío 425. Espacio 🔴⚫ https://t.co/Weh0qKHICV",Thu Jan 05 22:43:41 +0000 2023,Guanajuato,Celaya,U,-100.79571,20.513452,378143
