Estado,colibri,chupamirto,chuparrosa,chupaflor,total,colibri_FR,chupamirto_FR,chuparrosa_FR,chupaflor_FR
Aguascalientes,27,2,0,0,29,93.10344828,6.896551724,0,0
Baja California,82,0,0,1,83,98.79518072,0,0,1.204819277
Baja California Sur,18,0,1,0,19,94.73684211,0,5.263157895,0
Campeche,5,0,0,0,5,100,0,0,0
Chiapas,50,0,0,0,50,100,0,0,0
Chihuahua,31,0,0,0,31,100,0,0,0
Ciudad de México,485,7,1,0,493,98.37728195,1.419878296,0.202839757,0
Coahuila,34,0,0,0,34,100,0,0,0
Colima,16,0,0,0,16,100,0,0,0
Durango,37,0,0,0,37,100,0,0,0
Estado de México,275,5,1,0,281,97.86476868,1.779359431,0.355871886,0
Guanajuato,74,2,4,0,80,92.5,2.5,5,0
Guerrero,47,2,0,0,49,95.91836735,4.081632653,0,0
Hidalgo,22,1,0,0,23,95.65217391,4.347826087,0,0
Jalisco,203,0,0,0,203,100,0,0,0
Michoacán,36,1,1,0,38,94.73684211,2.631578947,2.631578947,0
Morelos,46,2,0,0,48,95.83333333,4.166666667,0,0
Nayarit,1,0,1,0,2,50,0,50,0
Nuevo León,162,1,0,0,163,99.38650307,0.613496933,0,0
Oaxaca,70,0,0,0,70,100,0,0,0
Puebla,109,2,0,0,111,98.1981982,1.801801802,0,0
Querétaro,70,1,0,0,71,98.5915493,1.408450704,0,0
Quintana Roo,34,0,0,0,34,100,0,0,0
San Luis Potosí,45,0,1,0,46,97.82608696,0,2.173913043,0
Sinaloa,50,0,10,0,60,83.33333333,0,16.66666667,0
Sonora,112,0,2,0,114,98.24561404,0,1.754385965,0
Tabasco,28,0,0,0,28,100,0,0,0
Tamaulipas,27,3,3,0,33,81.81818182,9.090909091,9.090909091,0
Tlaxcala,12,0,0,0,12,100,0,0,0
Veracruz,83,0,1,0,84,98.80952381,0,1.19047619,0
Yucatán,57,0,1,0,58,98.27586207,0,1.724137931,0
Zacatecas,52,0,0,0,52,100,0,0,0
Total,2400,29,27,1,2457,97.68009768,1.18030118,1.098901099,0.040700041
