Estado,bolillo,birote
Aguascalientes,86,14
Baja California,115,44
Baja California Sur,21,11
Campeche,18,0
Chiapas,54,0
Chihuahua,91,8
Ciudad de México,2139,104
Coahuila de Zaragoza,69,3
Colima,42,0
Durango,35,1
México,650,28
Guanajuato,299,10
Guerrero,258,1
Hidalgo,79,6
Jalisco,463,443
Michoacán de Ocampo,102,4
Morelos,95,19
Nayarit,31,7
Nuevo León,448,19
Oaxaca,74,3
Puebla,169,4
Querétaro,232,8
Quintana Roo,159,4
San Luis Potosí,137,10
Sinaloa,103,7
Sonora,62,88
Tabasco,91,0
Tamaulipas,77,4
Tlaxcala,30,1
Veracruz de Ignacio de la Llave,220,1
Yucatán,77,2
Zacatecas,51,1
Total,6577,855
