Estado,Ocurrencias
Aguascalientes,27
Baja California,82
Baja California Sur,18
Campeche,5
Chiapas,50
Chihuahua,31
Ciudad de México,485
Coahuila,34
Colima,16
Durango,37
Estado de México,275
Guanajuato,74
Guerrero,47
Hidalgo,22
Jalisco,203
Michoacán,36
Morelos,46
Nayarit,1
Nuevo León,162
Oaxaca,70
Puebla,109
Querétaro,70
Quintana Roo,34
San Luis Potosí,45
Sinaloa,50
Sonora,112
Tabasco,28
Tamaulipas,27
Tlaxcala,12
Veracruz,83
Yucatán,57
Zacatecas,52
Total,2400
