Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
@Curiel_Itzel Me pasa lo mismo con los vasolotes en Zamora 😢,Sun Dec 06 04:55:57 +0000 2020,"Zamora, Michoacán de Ocampo",-102.408768,19.948965,-102.408768,20.111258,-102.120477,20.111258,-102.120477,19.948965
esta señora me reinicia la vida😻 (@ Vasolotes Doña Lore II) https://t.co/kccDv5qXDt,Wed Dec 30 01:09:28 +0000 2020,"Morelia, Michoacán de Ocampo",-101.508271,19.442976,-101.508271,19.862472,-101.043269,19.862472,-101.043269,19.442976
Ah huevooo ya vacunaron a la señora de los vasolotes 🥺🙌🏾,Sat Apr 10 00:49:29 +0000 2021,"Uruapan, Michoacán de Ocampo",-102.400296,19.254785,-102.400296,19.623719,-101.934831,19.623719,-101.934831,19.254785
"Me cae mal la gente que pide sus vasolotes bien feos como Valentina y Tajín, qué pedo",Fri Sep 03 00:51:26 +0000 2021,"Morelia, Michoacán de Ocampo",-101.508271,19.442976,-101.508271,19.862472,-101.043269,19.862472,-101.043269,19.442976
