Tweet,Fecha,Locacion,Coordenadas
El del excusado es el único que aplica la #SanaDistancia #RCATimes @MikeVrabel @Titans #NFLDraft2020,Fri Apr 24 03:59:42 +0000 2020,"Nogales, Sonora","[[[-111.353471, 31.007209], [-111.353471, 31.377975], [-110.649331, 31.377975], [-110.649331, 31.007209]]]"
"""Uno puede llorar hasta con la palabra""excusado"" si tiene ganas de llorar.""",Fri Apr 03 04:19:11 +0000 2020,"Coyoacán, Distrito Federal","[[[-99.205809, 19.297011], [-99.205809, 19.359755], [-99.098871, 19.359755], [-99.098871, 19.297011]]]"
@emedranos Un excusado !,Fri Apr 03 22:38:14 +0000 2020,"Nezahualcóyotl, México","[[[-99.067766, 19.366862], [-99.067766, 19.498582], [-98.966267, 19.498582], [-98.966267, 19.366862]]]"
ustedes no la saben pero una vez me la pase en mi cumpleaños vomitando pastillas en el excusado llorando,Fri Apr 03 23:29:03 +0000 2020,"Veracruz, Veracruz de Ignacio de la Llave","[[[-96.340535, 19.102814], [-96.340535, 19.265092], [-96.118258, 19.265092], [-96.118258, 19.102814]]]"
"@anibal_guer @muhc62 @Rcabrerasiles @Oscar_Chavira @Donvix Un cobarde pejelover más, excusado en el anonimato",Sun Apr 05 04:40:38 +0000 2020,"Azcapotzalco, Distrito Federal","[[[-99.221136, 19.456367], [-99.221136, 19.5152], [-99.143116, 19.5152], [-99.143116, 19.456367]]]"
No son floreros...son excusados!,Mon Apr 27 19:03:42 +0000 2020,"Cuautitlán Izcalli, México","[[[-99.294897, 19.580497], [-99.294897, 19.732082], [-99.172417, 19.732082], [-99.172417, 19.580497]]]"
"A partir de hoy, mi gimnasio será el excusado 🙃",Thu Apr 09 17:52:54 +0000 2020,"Cuauhtémoc, Distrito Federal","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]"
"@_VicenteSerrano Éste Peluche-Payaso, tiene Conectado el HOCICO con el
Excusado, ¡¡Habla nada más para
Cagarla!! https://t.co/Oq2EpQkFZ3",Mon Apr 13 19:36:48 +0000 2020,"Ahome, Sinaloa","[[[-109.44826, 25.440593], [-109.44826, 26.4033], [-108.759193, 26.4033], [-108.759193, 25.440593]]]"
De escribir desde el excusado y errores de dedo ; urge poder editar tuits,Tue Apr 14 01:01:08 +0000 2020,"San Luis Potosí, México","[[[-101.169792, 21.959357], [-101.169792, 22.662882], [-100.74123, 22.662882], [-100.74123, 21.959357]]]"
"Y pensar que en este país hay pseudo comentaristas que, sin pudor alguno, lamen hasta el excusado donde se sienta A… https://t.co/DHj0REEwuD",Fri Apr 17 18:51:58 +0000 2020,"Monterrey, Nuevo León","[[[-100.421037, 25.480538], [-100.421037, 25.802899], [-100.166146, 25.802899], [-100.166146, 25.480538]]]"
@dinomadridmx Para la próxima transmite desde el excusado para que no te vayas a lastimar la espalda de tanto agacharte,Thu Apr 23 22:23:36 +0000 2020,"Juárez, Chihuahua","[[[-106.950638, 31.120681], [-106.950638, 31.783867], [-106.185378, 31.783867], [-106.185378, 31.120681]]]"
@ladyprospera Tienes excusado? Privilegio!,Fri May 08 04:18:39 +0000 2020,"Monterrey, Nuevo León","[[[-100.421037, 25.480538], [-100.421037, 25.802899], [-100.166146, 25.802899], [-100.166146, 25.480538]]]"
@_martinmoreno @lzaroRos5 Galvan Ochoa mencionando un cartón del Fisgón....... algo así como el excusado solicitando alimento......,Sat May 09 21:34:55 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
"@vichir @CarlosLoret @PostOpinions @washingtonpost Excusado, jajajaja deje le ayudo (disculpe)🤦🤦 traducción? de nada!! que tenga buena tarde",Tue May 12 20:56:02 +0000 2020,"Nuevo Laredo, Tamaulipas","[[[-99.974343, 27.268162], [-99.974343, 27.679262], [-99.478795, 27.679262], [-99.478795, 27.268162]]]"
"Se me cayó mi credencial godin adentro del excusado. Si no me había dado COVID, ahora sí ya valió madre. 
-
¿Qué tal su día?",Wed May 13 23:36:13 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
"Hay que meterlos al excusado,como a loretito",Thu May 14 00:24:33 +0000 2020,"Iztapalapa, Distrito Federal","[[[-99.140238, 19.284692], [-99.140238, 19.400885], [-98.960684, 19.400885], [-98.960684, 19.284692]]]"
"@ElMaderense12 @guilbert_ga Al Ferriz le falta su caricatura parecida a la de loretin, en es excusado .",Wed May 20 17:53:46 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
@Arouet_V @PMunozLedo Ese guey es un pedejo @gibranrr debe ser uno de los mecos que mi abuelo tiro al excusado; con… https://t.co/zeLNyxWRtX,Thu May 21 05:38:40 +0000 2020,"Querétaro, Querétaro Arteaga","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]"
@gog_antonio @Rusojr72 @lopezobrador_ Jaaaa UN EXCUSADO JAAA,Thu May 21 17:36:31 +0000 2020,"Tuxpan, Veracruz de Ignacio de la Llave","[[[-97.600579, 20.732102], [-97.600579, 21.141089], [-97.217553, 21.141089], [-97.217553, 20.732102]]]"
Saldré a pasear a los perros y mejor le bajo a esto como al excusado... flush,Thu May 21 23:39:24 +0000 2020,"Guadalajara, Jalisco","[[[-103.408633, 20.600585], [-103.408633, 20.752719], [-103.263131, 20.752719], [-103.263131, 20.600585]]]"
No sabía que el acoso en este inmenso excusado que son las redes sociales se tiene que justificar...,Sat May 23 23:55:47 +0000 2020,"Guadalupe, Nuevo León","[[[-100.274823, 25.621688], [-100.274823, 25.731519], [-100.117445, 25.731519], [-100.117445, 25.621688]]]"
"No es por ti animal, es para que no nos contagies. Tu pudrete con el excusado de tu ocico",Tue May 26 23:39:09 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
"#DDV14590

-Frases sabias de 1 excusado-

Al final todo va a parar al mismo lugar.",Wed May 27 13:51:17 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
"O sea, ni para excusado de  cantina.",Wed May 27 14:31:27 +0000 2020,"Juárez, Chihuahua","[[[-106.950638, 31.120681], [-106.950638, 31.783867], [-106.185378, 31.783867], [-106.185378, 31.120681]]]"
"@SimnTolomeo2 ESE PROMOCIONAL DEBE DE SER DEL EXCUSADO PUES SOLO CONTIENE MIERDA,DE QUIEN LO HIZO Y PARA QUIEN LO TUVO QUE HACER.",Fri May 29 01:42:40 +0000 2020,"Gustavo A. Madero, Distrito Federal","[[[-99.180678, 19.444937], [-99.180678, 19.592375], [-99.051103, 19.592375], [-99.051103, 19.444937]]]"
"Unpopular opinion: el papel higiénico solo se deposita el cesto cuando limpias pipi, si limpias popo va en excusado.",Fri May 29 17:29:50 +0000 2020,"Puerto Vallarta, Jalisco","[[[-105.324392, 20.471599], [-105.324392, 20.922506], [-104.972769, 20.922506], [-104.972769, 20.471599]]]"
@Jedisk8r92 Es horrible. Me da asco ver cómo se comportan los policías y cómo son excusados por sus acciones.,Sun May 31 07:39:58 +0000 2020,"Tijuana, Baja California","[[[-117.298421, 32.098292], [-117.298421, 32.567461], [-116.559783, 32.567461], [-116.559783, 32.098292]]]"
