Estado,Ocurrencias
Aguascalientes,5
Baja California,16
Baja California Sur,3
Campeche,3
Chiapas,41
Chihuahua,8
Ciudad de México,272
Coahuila,7
Colima,16
Durango,3
Estado de México,85
Guanajuato,23
Guerrero,8
Hidalgo,6
Jalisco,37
Michoacán,39
Morelos,13
Nayarit,4
Nuevo León,51
Oaxaca,263
Puebla,98
Querétaro,23
Quintana Roo,23
San Luis Potosí,3
Sinaloa,4
Sonora,15
Tabasco,10
Tamaulipas,9
Tlaxcala,9
Veracruz,26
Yucatán,73
Zacatecas,11
Total,1207
