Estado,lentes,anteojo,gafas,espejuelos
Aguascalientes,1,1,0,0
Baja California,18,4,1,0
Baja California Sur,4,1,0,0
Campeche,3,0,0,0
Chiapas,6,15,0,0
Chihuahua,3,18,0,0
Ciudad de México,59,75,9,0
Coahuila de Zaragoza,8,4,0,0
Colima,0,1,0,0
Durango,2,0,0,0
México,41,34,2,0
Guanajuato,21,3,0,0
Guerrero,2,3,0,0
Hidalgo,3,3,0,0
Jalisco,42,11,1,0
Michoacán de Ocampo,2,6,0,0
Morelos,7,5,1,0
Nayarit,0,1,0,0
Nuevo León,26,14,0,0
Oaxaca,4,5,0,0
Puebla,11,20,2,0
Querétaro,15,9,2,0
Quintana Roo,21,12,1,0
San Luis Potosí,3,8,1,0
Sinaloa,6,1,10,0
Sonora,12,6,0,0
Tabasco,3,1,0,0
Tamaulipas,12,2,1,0
Tlaxcala,1,0,0,0
Veracruz de Ignacio de la Llave,38,10,1,0
Yucatán,9,6,0,0
Zacatecas,2,3,0,0
Total,385,282,32,0
