Estado,hormiga,asquel,asquiline
Aguascalientes,16,0,0
Baja California,28,2,0
Baja California Sur,9,0,0
Campeche,16,0,0
Chiapas,20,0,0
Chihuahua,22,1,0
Ciudad de México,192,40,0
Coahuila de Zaragoza,21,5,0
Colima,3,0,0
Durango,8,1,0
México,104,24,0
Guanajuato,22,2,0
Guerrero,18,2,0
Hidalgo,16,1,0
Jalisco,83,4,1
Michoacán de Ocampo,12,1,0
Morelos,30,0,0
Nayarit,5,0,0
Nuevo León,95,7,0
Oaxaca,26,0,0
Puebla,38,3,0
Querétaro,46,0,0
Quintana Roo,45,2,0
San Luis Potosí,19,0,0
Sinaloa,32,2,0
Sonora,48,0,0
Tabasco,34,2,0
Tamaulipas,41,0,0
Tlaxcala,5,0,0
Veracruz de Ignacio de la Llave,75,4,0
Yucatán,61,0,0
Zacatecas,3,1,0
Total,1193,104,1
