Estado,Ocurrencias
Aguascalientes,38
Baja California,105
Baja California Sur,25
Campeche,10
Chiapas,54
Chihuahua,72
Ciudad de México,871
Coahuila,41
Colima,32
Durango,27
Estado de México,371
Guanajuato,80
Guerrero,84
Hidalgo,219
Jalisco,253
Michoacán,53
Morelos,86
Nayarit,22
Nuevo León,290
Oaxaca,43
Puebla,226
Querétaro,167
Quintana Roo,248
San Luis Potosí,400
Sinaloa,390
Sonora,119
Tabasco,118
Tamaulipas,82
Tlaxcala,22
Veracruz,257
Yucatán,86
Zacatecas,25
Total,4916
