Estado,Ocurrencias
Aguascalientes,32
Baja California,12
Baja California Sur,15
Campeche,0
Chiapas,35
Chihuahua,20
Ciudad de México,108
Coahuila,52
Colima,14
Durango,7
Estado de México,44
Guanajuato,81
Guerrero,24
Hidalgo,13
Jalisco,225
Michoacán,23
Morelos,11
Nayarit,15
Nuevo León,268
Oaxaca,40
Puebla,17
Querétaro,37
Quintana Roo,33
San Luis Potosí,84
Sinaloa,35
Sonora,156
Tabasco,3
Tamaulipas,48
Tlaxcala,1
Veracruz,35
Yucatán,11
Zacatecas,18
Total,1517
