Estado,Ocurrencias
Aguascalientes,6
Baja California,26
Baja California Sur,5
Campeche,5
Chiapas,9
Chihuahua,6
Ciudad de México,148
Coahuila,6
Colima,2
Durango,3
Estado de México,52
Guanajuato,12
Guerrero,5
Hidalgo,5
Jalisco,39
Michoacán,9
Morelos,14
Nayarit,2
Nuevo León,29
Oaxaca,2
Puebla,22
Querétaro,16
Quintana Roo,26
San Luis Potosí,4
Sinaloa,14
Sonora,13
Tabasco,6
Tamaulipas,5
Tlaxcala,1
Veracruz,21
Yucatán,5
Zacatecas,4
Total,522
