Estado,Ocurrencias
Aguascalientes,2
Baja California,8
Baja California Sur,2
Campeche,2
Chiapas,6
Chihuahua,11
Ciudad de México,128
Coahuila de Zaragoza,15
Colima,0
Durango,5
México,39
Guanajuato,6
Guerrero,4
Hidalgo,7
Jalisco,34
Michoacán de Ocampo,3
Morelos,9
Nayarit,1
Nuevo León,33
Oaxaca,4
Puebla,12
Querétaro,13
Quintana Roo,13
San Luis Potosí,3
Sinaloa,8
Sonora,5
Tabasco,1
Tamaulipas,7
Tlaxcala,4
Veracruz de Ignacio de la Llave,27
Yucatán,6
Zacatecas,6
Total,424
