Estado,Ocurrencias
Aguascalientes,37
Baja California,102
Baja California Sur,27
Campeche,43
Chiapas,59
Chihuahua,56
Ciudad de México,736
Coahuila,53
Colima,15
Durango,18
Estado de México,244
Guanajuato,89
Guerrero,54
Hidalgo,35
Jalisco,219
Michoacán,38
Morelos,72
Nayarit,11
Nuevo León,308
Oaxaca,68
Puebla,138
Querétaro,131
Quintana Roo,114
San Luis Potosí,58
Sinaloa,90
Sonora,146
Tabasco,96
Tamaulipas,84
Tlaxcala,18
Veracruz,243
Yucatán,143
Zacatecas,16
Total,3561
