Estado,coche,automovil,carro,auto
Aguascalientes,256,46,448,2126
Baja California,297,122,2228,4864
Baja California Sur,128,36,587,2132
Campeche,136,84,329,1519
Chiapas,276,119,604,3048
Chihuahua,186,79,1272,4050
Ciudad de México,6730,2998,8576,66106
Coahuila de Zaragoza,507,297,1395,5975
Colima,135,15,196,863
Durango,148,89,552,2170
México,1732,687,3564,23808
Guanajuato,828,231,1358,7657
Guerrero,231,100,489,2859
Hidalgo,294,88,571,2814
Jalisco,2530,791,4378,21214
Michoacán de Ocampo,320,73,619,3168
Morelos,402,240,583,4626
Nayarit,120,27,237,1143
Nuevo León,1708,456,7253,16789
Oaxaca,247,113,380,3486
Puebla,1362,698,1841,13104
Querétaro,1023,321,1249,8384
Quintana Roo,800,153,1091,6612
San Luis Potosí,674,128,846,3871
Sinaloa,388,134,3002,4210
Sonora,357,252,4461,7096
Tabasco,1370,168,931,3529
Tamaulipas,395,111,1482,3596
Tlaxcala,92,31,170,993
Veracruz de Ignacio de la Llave,1133,205,1983,9484
Yucatán,1020,333,825,6485
Zacatecas,155,86,333,2167
Total,25980,9311,53833,249948
