Estado,Ocurrencias
Aguascalientes,37
Baja California,70
Baja California Sur,14
Campeche,18
Chiapas,23
Chihuahua,93
Ciudad de México,686
Coahuila,102
Colima,12
Durango,43
Estado de México,257
Guanajuato,123
Guerrero,24
Hidalgo,57
Jalisco,279
Michoacán,47
Morelos,59
Nayarit,8
Nuevo León,482
Oaxaca,18
Puebla,104
Querétaro,197
Quintana Roo,78
San Luis Potosí,72
Sinaloa,108
Sonora,117
Tabasco,61
Tamaulipas,98
Tlaxcala,17
Veracruz,144
Yucatán,79
Zacatecas,33
Total,3560
