Estado,Ocurrencias
Aguascalientes,201
Baja California,244
Baja California Sur,54
Campeche,30
Chiapas,139
Chihuahua,121
Ciudad de México,2857
Coahuila,124
Colima,34
Durango,114
Estado de México,1183
Guanajuato,391
Guerrero,295
Hidalgo,64
Jalisco,543
Michoacán,124
Morelos,104
Nayarit,38
Nuevo León,863
Oaxaca,127
Puebla,450
Querétaro,212
Quintana Roo,199
San Luis Potosí,97
Sinaloa,139
Sonora,289
Tabasco,110
Tamaulipas,153
Tlaxcala,51
Veracruz,362
Yucatán,135
Zacatecas,172
Total,10019
