Estado,Ocurrencias
Aguascalientes,2126
Baja California,4864
Baja California Sur,2132
Campeche,1519
Chiapas,3048
Chihuahua,4050
Ciudad de México,66106
Coahuila,5975
Colima,863
Durango,2170
Estado de México,23808
Guanajuato,7657
Guerrero,2859
Hidalgo,2814
Jalisco,21214
Michoacán,3168
Morelos,4626
Nayarit,1143
Nuevo León,16789
Oaxaca,3486
Puebla,13104
Querétaro,8384
Quintana Roo,6612
San Luis Potosí,3871
Sinaloa,4210
Sonora,7096
Tabasco,3529
Tamaulipas,3596
Tlaxcala,993
Veracruz,9484
Yucatán,6485
Zacatecas,2167
Total,249948
