Estado,cobija,frazada
Aguascalientes,85,20
Baja California,274,43
Baja California Sur,60,16
Campeche,19,17
Chiapas,66,38
Chihuahua,223,50
Ciudad de México,1601,694
Coahuila de Zaragoza,150,42
Colima,21,10
Durango,83,14
México,613,237
Guanajuato,286,87
Guerrero,58,23
Hidalgo,120,25
Jalisco,632,217
Michoacán de Ocampo,149,38
Morelos,118,38
Nayarit,25,10
Nuevo León,605,177
Oaxaca,94,26
Puebla,326,132
Querétaro,286,78
Quintana Roo,120,69
San Luis Potosí,157,39
Sinaloa,236,44
Sonora,388,91
Tabasco,67,41
Tamaulipas,199,44
Tlaxcala,55,10
Veracruz de Ignacio de la Llave,287,118
Yucatán,100,62
Zacatecas,91,27
Total,7594,2577
