Estado,Ocurrencias
Aguascalientes,343
Baja California,877
Baja California Sur,386
Campeche,244
Chiapas,469
Chihuahua,610
Ciudad de México,7925
Coahuila,738
Colima,144
Durango,325
Estado de México,3603
Guanajuato,1081
Guerrero,362
Hidalgo,478
Jalisco,2850
Michoacán,434
Morelos,480
Nayarit,160
Nuevo León,3140
Oaxaca,396
Puebla,1433
Querétaro,1164
Quintana Roo,1064
San Luis Potosí,593
Sinaloa,929
Sonora,1254
Tabasco,674
Tamaulipas,761
Tlaxcala,140
Veracruz,1699
Yucatán,1164
Zacatecas,298
Total,36218
