Estado,pavo,guajolote,totole,totol,chompipe
Aguascalientes,186,2,0,0,0
Baja California,202,0,0,1,0
Baja California Sur,17,2,0,0,0
Campeche,28,1,0,0,0
Chiapas,119,0,0,0,0
Chihuahua,74,2,0,0,0
Ciudad de México,1952,47,0,9,0
Coahuila de Zaragoza,100,2,0,0,0
Colima,14,1,0,0,0
Durango,128,1,0,0,0
México,1077,21,1,2,0
Guanajuato,301,1,0,0,0
Guerrero,90,3,0,1,0
Hidalgo,81,22,0,0,0
Jalisco,693,9,0,4,0
Michoacán de Ocampo,79,3,0,0,0
Morelos,74,5,0,0,0
Nayarit,68,0,0,0,0
Nuevo León,667,5,2,2,0
Oaxaca,69,8,1,2,0
Puebla,298,5,0,13,0
Querétaro,338,23,0,1,0
Quintana Roo,217,0,0,0,0
San Luis Potosí,52,5,0,0,0
Sinaloa,125,2,0,0,0
Sonora,169,4,0,0,0
Tabasco,85,2,0,2,0
Tamaulipas,90,3,0,0,0
Tlaxcala,23,1,0,0,0
Veracruz de Ignacio de la Llave,326,5,8,10,0
Yucatán,278,2,0,0,0
Zacatecas,36,1,0,0,0
Total,8056,188,12,47,0
