Estado,Ocurrencias
Aguascalientes,74
Baja California,140
Baja California Sur,76
Campeche,40
Chiapas,170
Chihuahua,96
Ciudad de México,1616
Coahuila de Zaragoza,404
Colima,26
Durango,130
México,696
Guanajuato,258
Guerrero,154
Hidalgo,344
Jalisco,638
Michoacán de Ocampo,104
Morelos,174
Nayarit,38
Nuevo León,382
Oaxaca,278
Puebla,480
Querétaro,318
Quintana Roo,270
San Luis Potosí,134
Sinaloa,142
Sonora,318
Tabasco,166
Tamaulipas,372
Tlaxcala,38
Veracruz de Ignacio de la Llave,322
Yucatán,174
Zacatecas,166
Total,8738
