Estado,bolillo,birote
Aguascalientes,12,0
Baja California,17,9
Baja California Sur,4,0
Campeche,1,0
Chiapas,4,0
Chihuahua,11,0
Ciudad de México,238,9
Coahuila de Zaragoza,8,0
Colima,5,0
Durango,2,1
México,93,8
Guanajuato,24,0
Guerrero,35,0
Hidalgo,11,0
Jalisco,41,35
Michoacán de Ocampo,10,0
Morelos,13,7
Nayarit,6,0
Nuevo León,61,1
Oaxaca,5,0
Puebla,15,1
Querétaro,19,1
Quintana Roo,9,0
San Luis Potosí,14,0
Sinaloa,9,1
Sonora,8,13
Tabasco,15,0
Tamaulipas,17,0
Tlaxcala,7,0
Veracruz de Ignacio de la Llave,41,0
Yucatán,7,0
Zacatecas,8,1
Total,770,87
