Estado,Ocurrencias
Aguascalientes,131
Baja California,334
Baja California Sur,241
Campeche,44
Chiapas,88
Chihuahua,423
Ciudad de México,1383
Coahuila,845
Colima,50
Durango,208
Estado de México,346
Guanajuato,183
Guerrero,70
Hidalgo,78
Jalisco,2896
Michoacán,94
Morelos,52
Nayarit,72
Nuevo León,2430
Oaxaca,41
Puebla,203
Querétaro,249
Quintana Roo,128
San Luis Potosí,287
Sinaloa,207
Sonora,548
Tabasco,113
Tamaulipas,416
Tlaxcala,28
Veracruz,367
Yucatán,201
Zacatecas,155
Total,12911
