Locacion,Retrete
"Guadalajara, Jalisco",inodoro / excusado / escusado / sanitario / retrete / WC
"Xaltocan, Tlaxcala",retrete
"Nacozari de García, Sonora",escusado
"Chignahuapan, Puebla",sanitario
Plaza de los Fundadores,sanitario
Centro Estatal de Rehabilitacion y Educacion Especial,sanitario
Centro Cultural Universitario Bicentenario,sanitario
"Coatzacoalcos, Veracruz de Ignacio de la Llave",excusado / escusado / sanitario / retrete / WC
"Cuautitlán Izcalli, México",excusado / sanitario / retrete / WC
Verificentro Ermita Iztapalapa,sanitario
"General Enrique Estrada, Zacatecas",sanitario
"Tepatitlán de Morelos, Jalisco",escusado / WC
"Emiliano Zapata, Morelos",sanitario / WC
Estacionamiento Palacio de Gobierno,sanitario
"Otzolotepec, México",sanitario
"Salinas, San Luis Potosí",sanitario
"Huixquilucan, México",excusado / escusado / sanitario / retrete / WC
"Santo Domingo Tehuantepec, Oaxaca",sanitario
Chedraui,sanitario
"Chuminopolis, Mérida",sanitario
"Irapuato, Guanajuato",inodoro / excusado / sanitario
"San Juan Bautista Tuxtepec, Oaxaca",sanitario
"Ocampo, Tamaulipas",escusado
"Ciudad Valles, San Luis Potosí",inodoro / sanitario
Foro Contigo América,sanitario
Terminal de Autobuses Morelia,sanitario
"San Sebastián Tutla, Oaxaca",sanitario
"Jamay, Jalisco",sanitario
"PRI, Durango",sanitario
"Linares, Nuevo León",inodoro / excusado / escusado / sanitario
"Tepatlaxco de Hidalgo, Puebla",sanitario
"Escárcega, Campeche",sanitario
Starbucks,sanitario / WC
"Rafael Delgado, Veracruz de Ignacio de la Llave",escusado
"Nogales, Sonora",excusado / escusado / sanitario / WC
"Guaymas, Sonora",excusado / escusado / sanitario / retrete
"García, Nuevo León",inodoro / excusado / sanitario / retrete
"Pachuca de Soto, Hidalgo",inodoro / sanitario / retrete / WC
Mercado Central,sanitario
Promomedios,sanitario
"Tequixquiac, México",inodoro / sanitario / retrete / WC
Congreso de la Ciudad de México,sanitario
"Toluca, México",inodoro / excusado / escusado / sanitario / retrete / WC
"Ursulo Galván, Veracruz de Ignacio de la Llave",sanitario
"Tepalcingo, Morelos",sanitario
"Senguio, Michoacán de Ocampo",retrete
"Xochimilco, Distrito Federal",excusado / escusado / sanitario / retrete / WC
"Ciénega de Flores, Nuevo León",escusado
Cinemex Platino,WC
"Jiménez, Tamaulipas",sanitario
"Monterrey, Nuevo León",inodoro / excusado / escusado / sanitario / retrete / WC
"Querétaro, Querétaro Arteaga",inodoro / excusado / escusado / sanitario / retrete / WC
"Cordoba, Veracruz, México",inodoro
Costera Miguel Alemán,sanitario
BBVA Bancomer Dirección Regional,sanitario
"Pátzcuaro, Michoacán de Ocampo",sanitario
"Camargo, Chihuahua",inodoro
"Tantoyuca, Veracruz de Ignacio de la Llave",sanitario
"Vista Hermosa, Cuajimalpa de Morelos",sanitario
"Leonardo Bravo, Guerrero",inodoro / sanitario
"Matamoros, Tamaulipas",inodoro / sanitario
"Sayula, Jalisco",sanitario
"Cuautitlán, México",inodoro / sanitario
"Ciudad Fernández, San Luis Potosí",sanitario
"Mapimí, Durango",sanitario / WC
El Sargento B.C.S.,sanitario
Sanatorio Anita,sanitario
"Ayala, Morelos",sanitario / retrete
"Cuitláhuac, Veracruz de Ignacio de la Llave",sanitario
Colonia La Capilla,sanitario
IMSS UMF 3,WC
McDonald's,inodoro
"Chicoloapan, México",escusado / sanitario / retrete
"Villa de Tezontepec, Hidalgo",sanitario
"Benito Juárez, Distrito Federal",inodoro / excusado / escusado / sanitario / retrete / WC
"Roma Norte, Cuauhtémoc",sanitario
"Ures, Sonora",sanitario
"Córdoba, Veracruz de Ignacio de la Llave",inodoro / excusado / sanitario / retrete / WC
Zapopan,sanitario
Secretaría de Desarrollo Económico Sustentable (SDES),sanitario
"La Magdalena Contreras, Distrito Federal",escusado / sanitario / retrete / WC
"Campeche, México",inodoro / sanitario / WC
"Huejotzingo, Puebla",escusado / sanitario
Paseo Chapultepec,sanitario
"Saltillo, Coahuila de Zaragoza",inodoro / escusado / sanitario / retrete / WC
"Bochil, Chiapas",escusado
"Tepeaca, Puebla",sanitario
"Santa Catarina Ayometla, Tlaxcala",sanitario
"San José Iturbide, Guanajuato",inodoro
"Gómez Palacio, Durango",inodoro / sanitario
"Zoquitlán, Puebla",sanitario
"Filomeno Mata, Veracruz de Ignacio de la Llave",sanitario
Ramada Reforma Ciudad de México,sanitario
"Ocotlán, Jalisco",inodoro
"Mineral de la Reforma, Hidalgo",sanitario / WC
"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",sanitario
Hard Rock Hotel Cancún,WC
"San Nicolás de los Garza, Nuevo León",inodoro / excusado / sanitario / retrete / WC
"Jesús María, Aguascalientes",inodoro / sanitario
"Azcapotzalco, Distrito Federal",inodoro / excusado / escusado / sanitario / retrete / WC
"Huauchinango, Puebla",sanitario
"San Ildefonso Villa Alta, Oaxaca",sanitario
