Estado,Ocurrencias
Aguascalientes,46
Baja California,122
Baja California Sur,36
Campeche,84
Chiapas,119
Chihuahua,79
Ciudad de México,2998
Coahuila,297
Colima,15
Durango,89
Estado de México,687
Guanajuato,231
Guerrero,100
Hidalgo,88
Jalisco,791
Michoacán,73
Morelos,240
Nayarit,27
Nuevo León,456
Oaxaca,113
Puebla,698
Querétaro,321
Quintana Roo,153
San Luis Potosí,128
Sinaloa,134
Sonora,252
Tabasco,168
Tamaulipas,111
Tlaxcala,31
Veracruz,205
Yucatán,333
Zacatecas,86
Total,9311
