Estado,aguacero,chubasco,tormenta
Aguascalientes,8,2,161
Baja California,14,12,352
Baja California Sur,16,4,437
Campeche,29,31,308
Chiapas,95,6,343
Chihuahua,18,18,381
Ciudad de México,461,54,3300
Coahuila de Zaragoza,18,16,419
Colima,6,1,132
Durango,13,3,159
México,132,152,1769
Guanajuato,36,8,455
Guerrero,28,6,272
Hidalgo,37,21,218
Jalisco,107,30,1813
Michoacán de Ocampo,9,3,215
Morelos,35,9,326
Nayarit,1,16,120
Nuevo León,216,148,1876
Oaxaca,35,10,305
Puebla,115,12,727
Querétaro,45,47,638
Quintana Roo,56,92,1155
San Luis Potosí,17,11,268
Sinaloa,61,29,358
Sonora,39,20,710
Tabasco,80,14,444
Tamaulipas,26,32,531
Tlaxcala,7,0,81
Veracruz de Ignacio de la Llave,184,28,1151
Yucatán,79,19,1006
Zacatecas,11,3,148
Total,2034,857,20578
