Estado,Ocurrencias
Aguascalientes,162
Baja California,263
Baja California Sur,96
Campeche,32
Chiapas,102
Chihuahua,155
Ciudad de México,3361
Coahuila,217
Colima,38
Durango,64
Estado de México,996
Guanajuato,1299
Guerrero,146
Hidalgo,118
Jalisco,998
Michoacán,185
Morelos,174
Nayarit,53
Nuevo León,864
Oaxaca,461
Puebla,613
Querétaro,326
Quintana Roo,304
San Luis Potosí,137
Sinaloa,186
Sonora,453
Tabasco,181
Tamaulipas,275
Tlaxcala,92
Veracruz,558
Yucatán,524
Zacatecas,109
Total,13542
