Estado,Ocurrencias
Aguascalientes,40
Baja California,487
Baja California Sur,440
Campeche,42
Chiapas,69
Chihuahua,182
Ciudad de México,1661
Coahuila,145
Colima,23
Durango,46
Estado de México,406
Guanajuato,243
Guerrero,53
Hidalgo,77
Jalisco,741
Michoacán,85
Morelos,93
Nayarit,166
Nuevo León,612
Oaxaca,128
Puebla,297
Querétaro,198
Quintana Roo,1297
San Luis Potosí,151
Sinaloa,182
Sonora,275
Tabasco,80
Tamaulipas,150
Tlaxcala,24
Veracruz,224
Yucatán,230
Zacatecas,77
Total,8924
