Estado,Ocurrencias
Aguascalientes,82
Baja California,202
Baja California Sur,74
Campeche,87
Chiapas,230
Chihuahua,132
Ciudad de México,3631
Coahuila,176
Colima,31
Durango,92
Estado de México,1016
Guanajuato,341
Guerrero,222
Hidalgo,135
Jalisco,1310
Michoacán,138
Morelos,182
Nayarit,61
Nuevo León,749
Oaxaca,212
Puebla,1037
Querétaro,345
Quintana Roo,641
San Luis Potosí,178
Sinaloa,237
Sonora,209
Tabasco,172
Tamaulipas,198
Tlaxcala,61
Veracruz,649
Yucatán,405
Zacatecas,116
Total,13351
