Estado,rasguño,arañazo
Aguascalientes,5,0
Baja California,35,2
Baja California Sur,1,0
Campeche,1,0
Chiapas,1,1
Chihuahua,6,1
Ciudad de México,23,15
Coahuila de Zaragoza,0,0
Colima,0,0
Durango,1,0
México,11,9
Guanajuato,1,1
Guerrero,1,2
Hidalgo,9,1
Jalisco,12,11
Michoacán de Ocampo,2,0
Morelos,1,0
Nayarit,0,1
Nuevo León,14,6
Oaxaca,2,1
Puebla,3,3
Querétaro,6,1
Quintana Roo,3,0
San Luis Potosí,4,1
Sinaloa,1,0
Sonora,6,2
Tabasco,3,0
Tamaulipas,8,1
Tlaxcala,3,0
Veracruz de Ignacio de la Llave,9,2
Yucatán,0,3
Zacatecas,2,1
Total,174,65
