Estado,cinturon,cinto,fajo
Aguascalientes,3,1,0
Baja California,9,19,0
Baja California Sur,2,7,0
Campeche,3,1,0
Chiapas,0,2,0
Chihuahua,1,12,0
Ciudad de México,87,131,0
Coahuila de Zaragoza,5,11,0
Colima,1,3,0
Durango,3,1,0
México,37,36,0
Guanajuato,5,37,0
Guerrero,3,16,0
Hidalgo,1,15,0
Jalisco,51,43,0
Michoacán de Ocampo,4,20,0
Morelos,3,16,0
Nayarit,2,2,0
Nuevo León,28,25,0
Oaxaca,2,7,0
Puebla,17,20,0
Querétaro,15,12,0
Quintana Roo,8,10,0
San Luis Potosí,11,7,0
Sinaloa,3,8,0
Sonora,11,42,0
Tabasco,9,6,0
Tamaulipas,12,8,0
Tlaxcala,2,0,0
Veracruz de Ignacio de la Llave,11,14,0
Yucatán,17,13,0
Zacatecas,3,7,0
Total,369,552,0
