Estado,Ocurrencias
Aguascalientes,3
Baja California,3
Baja California Sur,7
Campeche,5
Chiapas,5
Chihuahua,15
Ciudad de México,85
Coahuila de Zaragoza,5
Colima,1
Durango,7
México,33
Guanajuato,18
Guerrero,7
Hidalgo,3
Jalisco,33
Michoacán de Ocampo,5
Morelos,12
Nayarit,5
Nuevo León,56
Oaxaca,4
Puebla,18
Querétaro,14
Quintana Roo,17
San Luis Potosí,8
Sinaloa,7
Sonora,7
Tabasco,7
Tamaulipas,6
Tlaxcala,1
Veracruz de Ignacio de la Llave,22
Yucatán,38
Zacatecas,3
Total,460
