Estado,Ocurrencias
Aguascalientes,50
Baja California,139
Baja California Sur,57
Campeche,45
Chiapas,68
Chihuahua,72
Ciudad de México,900
Coahuila,96
Colima,22
Durango,48
Estado de México,319
Guanajuato,190
Guerrero,85
Hidalgo,72
Jalisco,595
Michoacán,131
Morelos,75
Nayarit,57
Nuevo León,235
Oaxaca,84
Puebla,187
Querétaro,158
Quintana Roo,505
San Luis Potosí,77
Sinaloa,130
Sonora,178
Tabasco,219
Tamaulipas,67
Tlaxcala,13
Veracruz,260
Yucatán,241
Zacatecas,42
Total,5417
