Estado,Ocurrencias
Aguascalientes,52
Baja California,117
Baja California Sur,40
Campeche,36
Chiapas,79
Chihuahua,87
Ciudad de México,1639
Coahuila,96
Colima,18
Durango,48
Estado de México,511
Guanajuato,188
Guerrero,74
Hidalgo,56
Jalisco,529
Michoacán,87
Morelos,62
Nayarit,8
Nuevo León,409
Oaxaca,84
Puebla,278
Querétaro,221
Quintana Roo,182
San Luis Potosí,98
Sinaloa,88
Sonora,229
Tabasco,174
Tamaulipas,114
Tlaxcala,26
Veracruz,277
Yucatán,227
Zacatecas,36
Total,6170
