Estado,migaja,borona,morona,morusa
Aguascalientes,11,2,0,0
Baja California,22,1,0,0
Baja California Sur,7,0,7,0
Campeche,5,0,1,0
Chiapas,17,0,3,0
Chihuahua,26,2,8,0
Ciudad de México,291,7,75,2
Coahuila de Zaragoza,22,2,4,0
Colima,6,3,1,0
Durango,8,0,3,0
México,166,7,34,0
Guanajuato,36,0,14,0
Guerrero,13,3,3,0
Hidalgo,17,0,4,0
Jalisco,88,4,19,5
Michoacán de Ocampo,10,4,4,0
Morelos,21,1,5,1
Nayarit,7,0,0,0
Nuevo León,133,1,27,1
Oaxaca,14,0,3,0
Puebla,50,2,29,4
Querétaro,57,4,22,0
Quintana Roo,40,2,4,0
San Luis Potosí,19,1,4,0
Sinaloa,17,0,2,0
Sonora,27,0,4,0
Tabasco,23,1,2,0
Tamaulipas,33,1,9,0
Tlaxcala,3,0,1,0
Veracruz de Ignacio de la Llave,48,5,21,0
Yucatán,32,3,16,1
Zacatecas,13,0,3,1
Total,1282,56,332,15
