Estado,Ocurrencias
Aguascalientes,3
Baja California,14
Baja California Sur,0
Campeche,1
Chiapas,3
Chihuahua,3
Ciudad de México,90
Coahuila de Zaragoza,14
Colima,1
Durango,4
México,20
Guanajuato,9
Guerrero,2
Hidalgo,1
Jalisco,39
Michoacán de Ocampo,3
Morelos,13
Nayarit,5
Nuevo León,15
Oaxaca,3
Puebla,11
Querétaro,13
Quintana Roo,4
San Luis Potosí,4
Sinaloa,10
Sonora,17
Tabasco,3
Tamaulipas,4
Tlaxcala,0
Veracruz de Ignacio de la Llave,7
Yucatán,7
Zacatecas,0
Total,323
