Estado,Ocurrencias
Aguascalientes,256
Baja California,297
Baja California Sur,128
Campeche,136
Chiapas,276
Chihuahua,186
Ciudad de México,6730
Coahuila,507
Colima,135
Durango,148
Estado de México,1732
Guanajuato,828
Guerrero,231
Hidalgo,294
Jalisco,2530
Michoacán,320
Morelos,402
Nayarit,120
Nuevo León,1708
Oaxaca,247
Puebla,1362
Querétaro,1023
Quintana Roo,800
San Luis Potosí,674
Sinaloa,388
Sonora,357
Tabasco,1370
Tamaulipas,395
Tlaxcala,92
Veracruz,1133
Yucatán,1020
Zacatecas,155
Total,25980
