Estado,Ocurrencias
Aguascalientes,34
Baja California,75
Baja California Sur,19
Campeche,87
Chiapas,81
Chihuahua,72
Ciudad de México,1353
Coahuila,51
Colima,18
Durango,11
Estado de México,519
Guanajuato,147
Guerrero,109
Hidalgo,154
Jalisco,219
Michoacán,58
Morelos,962
Nayarit,10
Nuevo León,218
Oaxaca,137
Puebla,495
Querétaro,266
Quintana Roo,297
San Luis Potosí,41
Sinaloa,295
Sonora,70
Tabasco,201
Tamaulipas,66
Tlaxcala,27
Veracruz,641
Yucatán,375
Zacatecas,38
Total,7146
