Estado,Ocurrencias
Aguascalientes,85
Baja California,274
Baja California Sur,60
Campeche,19
Chiapas,66
Chihuahua,223
Ciudad de México,1601
Coahuila,150
Colima,21
Durango,83
Estado de México,613
Guanajuato,286
Guerrero,58
Hidalgo,120
Jalisco,632
Michoacán,149
Morelos,118
Nayarit,25
Nuevo León,605
Oaxaca,94
Puebla,326
Querétaro,286
Quintana Roo,120
San Luis Potosí,157
Sinaloa,236
Sonora,388
Tabasco,67
Tamaulipas,199
Tlaxcala,55
Veracruz,287
Yucatán,100
Zacatecas,91
Total,7594
